id,topic 0,topic 1,topic 2,topic 3,topic 4
0,0.0203661,5.719166e-05,5.7141126e-05,5.69911e-05,0.97946256
1,0.0005495586,2.4978288e-05,0.9993756,2.4945011e-05,2.4908437e-05
2,0.2351958,8.285668e-05,0.76455516,8.3202634e-05,8.30316e-05
3,3.933241e-05,0.0019751112,3.9829476e-05,3.935153e-05,0.9979064
4,8.726342e-05,8.707169e-05,8.751023e-05,0.99965125,8.694088e-05
5,0.000307972,0.29524243,0.0003073412,0.07401357,0.63012874
6,0.046491057,3.2874443e-05,3.283511e-05,0.95341057,3.267873e-05
7,0.00015063482,0.99939775,0.00015054368,0.00015045013,0.00015057204
8,6.9609e-05,6.901951e-05,0.9997229,6.930369e-05,6.915795e-05
9,0.07937397,8.657951e-05,0.25059086,0.027814783,0.6421338
10,8.580037e-05,0.99965715,8.590612e-05,8.546163e-05,8.565394e-05
11,0.99991405,2.1500446e-05,2.1581776e-05,2.142722e-05,2.1430564e-05
12,0.00015022935,0.9993992,0.00015015676,0.00015011449,0.00015026348
13,3.334015e-05,3.3239266e-05,0.9998669,3.3313034e-05,3.3248158e-05
14,0.9674432,4.30308e-05,4.307661e-05,0.0291393,0.003331337
15,0.9989483,0.00026206678,0.00026203514,0.0002632871,0.00026433668
16,3.3123823e-05,3.2995562e-05,3.3105167e-05,0.9998676,3.313667e-05
17,6.684057e-05,6.6419205e-05,0.999733,6.692391e-05,6.687213e-05
18,0.0038830615,1.8626168e-05,0.99606115,1.8595016e-05,1.8565339e-05
19,0.6115686,0.072510615,0.00022295155,0.3154756,0.00022216991
20,7.662351e-05,7.6512355e-05,0.0014901854,0.9372684,0.061088372
21,0.00018244378,0.00018124103,0.00018174185,0.9992739,0.00018063877
22,0.9951183,3.3313667e-05,3.3547185e-05,3.349178e-05,0.004781296
23,0.9990672,0.00023230603,0.00023262999,0.00023312103,0.00023474172
24,6.718419e-05,6.686773e-05,0.30784938,0.123092145,0.5689244
25,0.00064331497,0.0034061782,0.00012663064,0.0001261727,0.99569774
26,0.11187038,5.2706673e-05,5.3138552e-05,5.3027477e-05,0.88797075
27,0.013287765,4.6835234e-05,4.7174683e-05,4.699547e-05,0.98657125
28,0.3155817,4.71701e-05,0.68427676,4.725994e-05,4.7130194e-05
29,0.25889823,2.2488775e-05,0.74103475,2.2351127e-05,2.2206825e-05
30,3.2642965e-05,3.2550746e-05,0.99986964,3.261658e-05,3.2557055e-05
31,6.273264e-05,0.0146225495,6.2830055e-05,6.26337e-05,0.98518926
32,0.15877146,7.257006e-05,0.830286,0.010797014,7.2997806e-05
33,0.050921213,2.663075e-05,0.42746133,0.5215641,2.6678605e-05
